city,state_name,lat,lng
Dunseith,North Dakota,48.8130569,-100.0609678
Mylo,North Dakota,48.6352785,-99.6187555
Antler,North Dakota,48.9708532,-101.2823803
Bottineau,North Dakota,48.8272301,-100.4456984
Gardena,North Dakota,48.700837,-100.4976393
Kramer,North Dakota,48.690565,-100.7068093
Landa,North Dakota,48.8966855,-100.9118208
Lansford,North Dakota,48.628909,-101.3757158
Maxbass,North Dakota,48.7216878,-101.1415464
Newburg,North Dakota,48.7150177,-100.9129293
Overly,North Dakota,48.6819437,-100.150136
Canton City,North Dakota,48.6878745,-97.6676696
Crystal,North Dakota,48.5969371,-97.6695334
Drayton,North Dakota,48.5710958,-97.1778485
Hamilton,North Dakota,48.8086008,-97.4528587
Mountain,North Dakota,48.6877719,-97.8650966
Neche,North Dakota,48.9861027,-97.5548
Pembina,North Dakota,48.9663766,-97.2436761
Cando,North Dakota,48.4866682,-99.2098593
Egeland,North Dakota,48.6263945,-99.0973586
Hansboro,North Dakota,48.9500078,-99.3829145
Perth,North Dakota,48.7163932,-99.4579209
Rocklake,North Dakota,48.7901657,-99.2460844
Alsen,North Dakota,48.6305626,-98.7048488
Calio,North Dakota,48.6311182,-98.9329109
Calvin,North Dakota,48.8525068,-98.9354078
Hannah,North Dakota,48.9716708,-98.6917884
Langdon,North Dakota,48.7600007,-98.3681728
Loma,North Dakota,48.6302832,-98.5328984
Milton,North Dakota,48.6263838,-98.0426017
Munich,North Dakota,48.669174,-98.8326307
Nekoma,North Dakota,48.5772245,-98.370392
Osnabrock,North Dakota,48.6688857,-98.1512186
Ambrose,North Dakota,48.9539222,-103.4826921
Crosby,North Dakota,48.9141998,-103.2949095
Fortuna,North Dakota,48.9100315,-103.7793697
Noonan,North Dakota,48.8889194,-103.0087936
Bowbells,North Dakota,48.8030833,-102.2460008
Flaxton,North Dakota,48.8986389,-102.3923913
Lignite,North Dakota,48.8775322,-102.5629488
Portal,North Dakota,48.9958637,-102.5496127
Powers Lake,North Dakota,48.5628042,-102.6479573
Glenburn,North Dakota,48.5130744,-101.2207138
Grano,North Dakota,48.6150203,-101.5865506
Loraine,North Dakota,48.8655766,-101.5679389
Mohall,North Dakota,48.7633556,-101.5132169
Burlington,North Dakota,48.2752881,-101.4287751
Carpio,North Dakota,48.4425171,-101.7146064
Des Lacs,North Dakota,48.257788,-101.5634984
Donnybrook,North Dakota,48.509465,-101.8851618
Douglas,North Dakota,47.8572261,-101.5029412
Kenmare,North Dakota,48.6747476,-102.0826636
Makoti,North Dakota,47.9611214,-101.8046105
Minot,North Dakota,48.2325095,-101.2962732
Alamo,North Dakota,48.5816949,-103.4699122
Epping,North Dakota,48.2791887,-103.3571326
Grenora,North Dakota,48.6183606,-103.9379866
Ray,North Dakota,48.3444663,-103.1651845
Anamoose,North Dakota,47.8825008,-100.241246
Upham,North Dakota,48.5816728,-100.7281937
Velva,North Dakota,48.0561196,-100.929317
Voltaire,North Dakota,48.0205632,-100.8415372
Deering,North Dakota,48.3955721,-101.0518201
Drake,North Dakota,47.9241692,-100.3723605
Granville,North Dakota,48.2677874,-100.8426438
Karlsruhe,North Dakota,48.0900056,-100.6204201
Kief,North Dakota,47.8575023,-100.5115274
New Town,North Dakota,47.9808483,-102.4901804
Palermo,North Dakota,48.3397413,-102.2290557
Parshall,North Dakota,47.9533459,-102.1348915
Plaza,North Dakota,48.0258461,-101.9610003
Brocket,North Dakota,48.2130558,-98.3570499
Crary,North Dakota,48.0708347,-98.6384434
Edmore,North Dakota,48.4133374,-98.4542795
Hampden,North Dakota,48.5402849,-98.6542903
Lawton,North Dakota,48.3027789,-98.3692741
Ardoch,North Dakota,48.2072096,-97.3422986
Edinburg,North Dakota,48.4966607,-97.8620378
Fairdale,North Dakota,48.4908325,-98.2312186
Fordville,North Dakota,48.2174934,-97.7906451
Forest River,North Dakota,48.2152672,-97.4681352
Grafton,North Dakota,48.4122108,-97.410634
Hoople,North Dakota,48.5347143,-97.6348091
Lankin,North Dakota,48.311106,-97.9250945
Minto,North Dakota,48.2916547,-97.3714652
Park River,North Dakota,48.3986043,-97.7411999
Pisek,North Dakota,48.3108259,-97.7092537
Brinsmade,North Dakota,48.1824994,-99.3240238
Esmond,North Dakota,48.0358398,-99.7620743
Knox,North Dakota,48.3402764,-99.690413
Leeds,North Dakota,48.2888882,-99.4376352
Maddock,North Dakota,47.9625088,-99.530133
Minnewaukan,North Dakota,48.071388,-99.2523572
Oberon,North Dakota,47.923055,-99.2040184
Aneta,North Dakota,47.6794377,-97.9881509
Lakota,North Dakota,48.0427767,-98.3362149
McVille,North Dakota,47.7638843,-98.1773206
Pekin,North Dakota,47.7908303,-98.3281559
Petersburg,North Dakota,48.0111053,-98.0014885
Emerado,North Dakota,47.918875,-97.3650837
Gilby,North Dakota,48.0852671,-97.4706383
Grand Forks,North Dakota,47.9252568,-97.0328547
Inkster,North Dakota,48.1513804,-97.6442523
Larimore,North Dakota,47.9066569,-97.6267539
Manvel,North Dakota,48.0777615,-97.176465
Niagara,North Dakota,47.996382,-97.8703719
Northwood,North Dakota,47.7341547,-97.5667543
Reynolds,North Dakota,47.6722013,-97.1067515
Alexander,North Dakota,47.8430756,-103.642698
Arnegard,North Dakota,47.8077966,-103.4410273
Butte,North Dakota,47.8380585,-100.6654187
Garrison,North Dakota,47.6522225,-101.4157165
Max,North Dakota,47.8211141,-101.2987702
Mercer,North Dakota,47.4905538,-100.7109688
Riverdale,North Dakota,47.497499,-101.371271
New Rockford,North Dakota,47.6799985,-99.1378952
Bowdon,North Dakota,47.4697217,-99.7078981
Fessenden,North Dakota,47.6491683,-99.629289
Hamberg,North Dakota,47.7630597,-99.51457
Harvey,North Dakota,47.769723,-99.935404
Hurdsfield,North Dakota,47.4483295,-99.9284546
Goodrich,North Dakota,47.4749954,-100.1262353
McClusky,North Dakota,47.4858309,-100.4431839
Martin,North Dakota,47.8266671,-100.1151307
Dodge,North Dakota,47.30612,-102.2043423
Dunn Center,North Dakota,47.3536235,-102.620462
Halliday,North Dakota,47.3544535,-102.3360118
Killdeer,North Dakota,47.3719582,-102.7540751
Finley,North Dakota,47.5141578,-97.8359252
Hope,North Dakota,47.3222102,-97.7223196
Luverne,North Dakota,47.2510998,-97.9348215
Hannaford,North Dakota,47.3133252,-98.1864847
Buxton,North Dakota,47.601924,-97.0973081
Galesburg,North Dakota,47.2699845,-97.4064772
Hatton,North Dakota,47.6397087,-97.4534224
Hillsboro,North Dakota,47.4038683,-97.0620308
Mayville,North Dakota,47.4980408,-97.3245354
Portland,North Dakota,47.4983191,-97.3703689
Carrington,North Dakota,47.4497201,-99.1262234
